"index","title","link","grant_id","programme","type","start","end","description"
"4519","Increasing energy performance of existing buildings through process and organisation innovations and creating a market for deep renovation","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/ee-05-2015;callCode=null;freeTextSearchKeyword=;matchWholeText=false;typeCodes=1,2,8;statusCodes=31094501,31094502,31094503;programmePeriod=null;programCcm2Id=null;programDivisionCode=null;focusAreaCode=null;destination=null;mission=null;geographicalZonesCode=null;programmeDivisionProspect=null;startDateLte=null;startDateGte=null;crossCuttingPriorityCode=null;cpvCode=null;performanceOfDelivery=null;sortQuery=sortStatus;orderBy=asc;onlyTenders=false;topicListKey=topicSearchTablePageState","EE-05-2015","Horizon 2020 Framework Programme (H2020 - 2014-2020)
","Coordination and support action
","10 December 2014
","single-stage
Deadline date","Scope:
Specific challenge: The Energy Performance of Buildings Directive and the Energy Efficiency Directive contain provisions to increase renovation rates, especially for public buildings. However non-technological barriers hamper the implementation of these provisions and also prevent other market actors in the residential and private sectors from following the example that the public sector is expected to set.
The heterogeneity of the construction industry, the large number of companies and the relative lack of quality standards and inspection protocols and guidelines limit the number and impact of large-scale energy efficiency investments and the effective integration of renewable energies. Many buildings are not commissioned and/or operated properly and energy performance certificates have not yet gained full public acceptance. The pressure to build or renovate towards nearly zero-energy buildings means that the building sector needs to significantly upgrade its working practices.
In addition there is a need to develop a marketplace for deep renovation[1] packages. Currently, there is limited articulated demand from building owners for significant energy performance improvements in existing buildings. Supply side, demand side and public authorities need to cooperate and find solutions that drive compelling offers for building owners, and simultaneously lift as many barriers as possible.
Scope: Proposals should focus on removing market barriers. They should focus on coherent interventions across issues and across actors to drive structural improvement in market conditions (i.e. those able to significantly influence buildings energy use in different sectors including building owners/operators, public authorities, construction and maintenance industry, housing associations, developers, financiers, etc.). All building types may be covered; however the main focus should be on existing buildings, in particular the most inefficient ones, as they represent the largest savings potential. Proposals should create synergies by incorporating at least one of the following three elements:
Driving product and process innovation in the construction sector to improve product offerings by creating an early market.
Development, testing and/or implementation of regulations; property valuation techniques; decision-making tools for renovation strategies; quality standards; and/or inspection and monitoring mechanisms to bridge the gap between expected and actual energy performance.
Enabling conditions to finance deep renovation of buildings (including through process and organisation innovation).
Optional additional activities may include:
Support for the implementation of the recast Energy Performance of Buildings Directive in Member States by promoting dialogue and exchange of best practices; complementing activities of the EPBD Concerted Action[2].
Support to the implementation of the Energy Efficiency Directive as regards its provisions on 'long-term strategies for mobilising investment in the renovation of the national stock of residential and commercial buildings' (Article 4) and the renovation of central government buildings' (Article 5); complementing activities of the EED Concerted Action[3]. Proposals should not replace activities that are under the responsibility of Member States but add European value to these activities (e.g. exchange of knowledge and experience between organisations from different countries).
Methods to increase the share of on-site and nearby-generated renewable energy in order to achieve nearly zero-energy buildings performance levels (or better).
The Commission considers that proposals requesting a contribution from the EU of between EUR 1.5 and 2 million would allow this specific challenge to be addressed appropriately. Nonetheless, this does not preclude submission and selection of proposals requesting other amounts.
Expected impact: proposals triggering the renovation of existing buildings towards high energy performance, or raising quality and compliance, should result in savings of at least 25 GWh/year per million EUR of EU support. Impacts should also be measured in terms of investment made by stakeholders in sustainable energy; better implementation of energy-efficiency policies; and number of policy makers or building owners/operators influenced.
Type of action: Coordination and Support Actions
[1] Deep (or major) renovation means the renovation of a building where: (a) the total cost of the renovation relating to the building envelope or the technical building systems is higher than 25 % of the value of the building, excluding the value of the land upon which the building is situated; or  (b) more than 25 % of the surface of the building envelope undergoes renovation (Energy Performance of Buildings Directive)
[2] www.epbd-ca.eu
[3] www.esd-ca.eu
Cross-cutting Priorities:
Socio-economic science and humanities"
"4520","Empowering stakeholders to assist public authorities in the definition and implementation of sustainable energy policies and measures","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/ee-09-2015;callCode=null;freeTextSearchKeyword=;matchWholeText=false;typeCodes=1,2,8;statusCodes=31094501,31094502,31094503;programmePeriod=null;programCcm2Id=null;programDivisionCode=null;focusAreaCode=null;destination=null;mission=null;geographicalZonesCode=null;programmeDivisionProspect=null;startDateLte=null;startDateGte=null;crossCuttingPriorityCode=null;cpvCode=null;performanceOfDelivery=null;sortQuery=sortStatus;orderBy=asc;onlyTenders=false;topicListKey=topicSearchTablePageState","EE-09-2015","Horizon 2020 Framework Programme (H2020 - 2014-2020)
","Coordination and support action
","10 December 2014
","single-stage
Deadline date","Scope:
Specific challenge: While public authorities have an important role to play to develop energy efficiency policies and plans, the latter require the full involvement of private stakeholders and the civil society for their effective implementation. However there is a general lack of capacity and coordination among those stakeholders to guarantee their full involvement and to effectively convert policies and plans into concrete actions.
Scope: Proposals should target specific actors among a wide spectrum of stakeholders (utilities, industry, financing institutions, non-governmental organisations, consumer associations, interest groups, trade unions, etc). They should provide large-scale capacity building or engagement activities to those specific groups playing a key role in the definition and/or implementation of sustainable energy policies and measures initiated by public authorities. Proposals should demonstrate a strong European added value and put in place mechanisms ensuring the continuation of the activities beyond the project duration.
The Commission considers that proposals requesting a contribution from the EU of between EUR 1 and 1.5 million would allow this specific challenge to be addressed appropriately. Nonetheless, this does not preclude submission and selection of proposals requesting other amounts.
Expected impact:Each projectmust prove to influence hundreds of stakeholders playing a key role in the definition and successful implementation of national, regional or local policies. As a result the number of final consumers impacted should be measured in thousands of people.
Type of action: Coordination and Support Actions
Cross-cutting Priorities:
Socio-economic science and humanities"
"4521","Consumer engagement for sustainable energy","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/ee-10-2014;callCode=null;freeTextSearchKeyword=;matchWholeText=false;typeCodes=1,2,8;statusCodes=31094501,31094502,31094503;programmePeriod=null;programCcm2Id=null;programDivisionCode=null;focusAreaCode=null;destination=null;mission=null;geographicalZonesCode=null;programmeDivisionProspect=null;startDateLte=null;startDateGte=null;crossCuttingPriorityCode=null;cpvCode=null;performanceOfDelivery=null;sortQuery=sortStatus;orderBy=asc;onlyTenders=false;topicListKey=topicSearchTablePageState","EE-10-2014","Horizon 2020 Framework Programme (H2020 - 2014-2020)
","Coordination and support action
","11 December 2013
","single-stage
Deadline date","Scope:
Specific challenge:residential use of energy is responsible for 28% of EU energy consumption[1]. The barriers to consumer energy saving have been known for more than 30 years[2] but are still present, in particular split incentives (e.g. tenants vs. landlords), lack of information, high initial investment in energy-efficient equipment and habits of energy users. Likewise, while awareness of the existence of renewable energies has improved considerably in the last years, there is still a lack of understanding of how to use them in practice.
Scope:Projectproposals should focus on changing the behaviour of consumers in their everyday life (e.g. at home, at work, at school), using market segmentation and focussing on 'action', the last step of the AIDA (Awareness – Interest – Desire – Action) framework. Equipment responsible for main energy consumption (e.g. heating and cooling, lighting, domestic appliances, and consumer electronics)[3], as well as products from the small scale renewable energy market, should be addressed in priority. Educational activities or tools (such as comparative ones) may be necessary, e.g. to help consumers read and understand their energy bills or labels; to help them take advantage of ICT devices and tools to monitor and analyse their energy use; to increase trust in individual smart meters or energy audits; or to help them participate in community renewable energy projects (e.g. RES consumer cooperatives, community-owned projects, etc.). Actions should take gender issues into account when relevant and involve manufacturers, retailers and consumer associations when these can play a decisive role. The use of social innovations and innovative technologies (e.g. smart meters/appliances/ICT) should be considered when it brings added value, especially when addressing the younger generation. More fundamental activities aimed at a better understanding of consumers' and other stakeholders' perception, motivation and behaviour are part of the scope (e.g. understanding of product labels and building certificates, difference in patterns of consumption for women and men) provided their results can directly lead to improvements in the effectiveness of consumer-driven initiatives.
The Commission considers that proposals requesting a contribution from the EU of between EUR 1 and 1.5 million would allow this specific challenge to be addressed appropriately. Nonetheless, this does not preclude submission and selection of proposals requesting other amounts.
Expected impact:Bigger market share of the most energy-efficient products (from the highest energy class) and/or of high quality renewable energy products. For example, each million € of EU support in energy efficiency actions is expected to deliver annual energy savings of around 10% for at least 5,000 households[4] (around 8 GWh/year of savings[5]). In any case proposals should demonstrate significant impacts in terms of number of people changing their behaviour and taking informed investment decisions.
Type of action: Coordination and Support Actions
[1] Ballu, M. & Toulouse, E. (2010) Energy savings in practice. Potential and delivery of EU ecodesign measures.
[2] Crossley, D. J. (1983) Identifying barriers to the success of consumer energy conservation policies. Energy, 8, 533-546.
[3] Bertoldi, P., Hirl, B. & Labanca, N. (2012) Electricity consumption and efficiency trends in the EU-27.
[4] Energy savings in this order have been achieved in former IEE projects (e.g. ACHIEVE, EC-LINC, Energy Neighbourhoods, Eco n’Home).
[5] Considering 1.46 toe of energy consumption per capita and per year and an average household size of 2.4 capita, as indicated in Bertoldi et al. 2012 (quoted above).
Cross-cutting Priorities:
Socio-economic science and humanities
Gender"
"4522","Consumer engagement for sustainable energy","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/ee-10-2015;callCode=null;freeTextSearchKeyword=;matchWholeText=false;typeCodes=1,2,8;statusCodes=31094501,31094502,31094503;programmePeriod=null;programCcm2Id=null;programDivisionCode=null;focusAreaCode=null;destination=null;mission=null;geographicalZonesCode=null;programmeDivisionProspect=null;startDateLte=null;startDateGte=null;crossCuttingPriorityCode=null;cpvCode=null;performanceOfDelivery=null;sortQuery=sortStatus;orderBy=asc;onlyTenders=false;topicListKey=topicSearchTablePageState","EE-10-2015","Horizon 2020 Framework Programme (H2020 - 2014-2020)
","Coordination and support action
","10 December 2014
","single-stage
Deadline date","Scope:
Specific challenge:residential use of energy is responsible for 28% of EU energy consumption[1]. The barriers to consumer energy saving have been known for more than 30 years[2] but are still present, in particular split incentives (e.g. tenants vs. landlords), lack of information, high initial investment in energy-efficient equipment and habits of energy users. Likewise, while awareness of the existence of renewable energies has improved considerably in the last years, there is still a lack of understanding of how to use them in practice.
Scope:Projectproposals should focus on changing the behaviour of consumers in their everyday life (e.g. at home, at work, at school), using market segmentation and focussing on 'action', the last step of the AIDA (Awareness – Interest – Desire – Action) framework. Equipment responsible for main energy consumption (e.g. heating and cooling, lighting, domestic appliances, and consumer electronics)[3], as well as products from the small scale renewable energy market, should be addressed in priority. Educational activities or tools (such as comparative ones) may be necessary, e.g. to help consumers read and understand their energy bills or labels; to help them take advantage of ICT devices and tools to monitor and analyse their energy use; to increase trust in individual smart meters or energy audits; or to help them participate in community renewable energy projects (e.g. RES consumer cooperatives, community-owned projects, etc.). Actions should take gender issues into account when relevant and involve manufacturers, retailers and consumer associations when these can play a decisive role. The use of social innovations and innovative technologies (e.g. smart meters/appliances/ICT) should be considered when it brings added value, especially when addressing the younger generation. More fundamental activities aimed at a better understanding of consumers' and other stakeholders' perception, motivation and behaviour are part of the scope (e.g. understanding of product labels and building certificates, difference in patterns of consumption for women and men) provided their results can directly lead to improvements in the effectiveness of consumer-driven initiatives.
The Commission considers that proposals requesting a contribution from the EU of between EUR 1 and 1.5 million would allow this specific challenge to be addressed appropriately. Nonetheless, this does not preclude submission and selection of proposals requesting other amounts.
Expected impact:Bigger market share of the most energy-efficient products (from the highest energy class) and/or of high quality renewable energy products. For example, each million € of EU support in energy efficiency actions is expected to deliver annual energy savings of around 10% for at least 5,000 households[4] (around 8 GWh/year of savings[5]). In any case proposals should demonstrate significant impacts in terms of number of people changing their behaviour and taking informed investment decisions.
Type of action: Coordination and Support Actions
[1] Ballu, M. & Toulouse, E. (2010) Energy savings in practice. Potential and delivery of EU ecodesign measures.
[2] Crossley, D. J. (1983) Identifying barriers to the success of consumer energy conservation policies. Energy, 8, 533-546.
[3] Bertoldi, P., Hirl, B. & Labanca, N. (2012) Electricity consumption and efficiency trends in the EU-27.
[4] Energy savings in this order have been achieved in former IEE projects (e.g. ACHIEVE, EC-LINC, Energy Neighbourhoods, Eco n’Home).
[5] Considering 1.46 toe of energy consumption per capita and per year and an average household size of 2.4 capita, as indicated in Bertoldi et al. 2012 (quoted above).
Cross-cutting Priorities:
Gender
Socio-economic science and humanities"
"4523","New ICT-based solutions for energy efficiency","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/ee-11-2014;callCode=null;freeTextSearchKeyword=;matchWholeText=false;typeCodes=1,2,8;statusCodes=31094501,31094502,31094503;programmePeriod=null;programCcm2Id=null;programDivisionCode=null;focusAreaCode=null;destination=null;mission=null;geographicalZonesCode=null;programmeDivisionProspect=null;startDateLte=null;startDateGte=null;crossCuttingPriorityCode=null;cpvCode=null;performanceOfDelivery=null;sortQuery=sortStatus;orderBy=asc;onlyTenders=false;topicListKey=topicSearchTablePageState","EE-11-2014","Horizon 2020 Framework Programme (H2020 - 2014-2020)
","Research and Innovation action
","11 December 2013
","single-stage
Deadline date","Scope:
Specific Challenge: To motivate and support citizen's behavioural change to achieve greater energy efficiency taking advantage of ICT (e.g. personalised data driven applications, gaming and social networking) while ensuring energy savings from this new ICT-enabled solutions are greater than the cost for the provision of the services.
Scope: the focus should be on the creation of innovative IT ecosystems that would develop services and applications making use of information generated by energy consumers (e.g. through social networks) or captured from sensors (e.g. smart meters, smart plugs, social media) and micro-generation. These applications range from Apps for smart phones and tablets to serious games to empower consumers stimulate collaboration and enable full participation in the market. The proposed solutions should be deployed and validated in real life conditions in publicly owned buildings (including administrative offices, social housing) and buildings in public use or of public interest. Validation should provide socio-economic evidence for ICT investment in the field and include detailed plans for sustainability and large-scale uptake beyond the project's life time.
Specific attention should be given to development and testing of 'cleanweb' solutions, which not only bring opportunities for consumers, but also represent a promising investment field.
The Commission considers that proposals requesting a contribution from the EU of between EUR 1.5 and 2 million would allow this specific challenge to be addressed appropriately. Nonetheless, this does not preclude submission and selection of proposals requesting other amounts.
Expected impact: Systemic energy consumption and production and emissions reduction between 15% and 30%. Accelerate wide deployment of innovative ICT solutions for energy efficiency. Greater consumer understanding and engagement in energy efficiency.
Type of action: Research & Innovation Actions
Cross-cutting Priorities:
Socio-economic science and humanities"
"4524","New ICT-based solutions for energy efficiency","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/ee-11-2015;callCode=null;freeTextSearchKeyword=;matchWholeText=false;typeCodes=1,2,8;statusCodes=31094501,31094502,31094503;programmePeriod=null;programCcm2Id=null;programDivisionCode=null;focusAreaCode=null;destination=null;mission=null;geographicalZonesCode=null;programmeDivisionProspect=null;startDateLte=null;startDateGte=null;crossCuttingPriorityCode=null;cpvCode=null;performanceOfDelivery=null;sortQuery=sortStatus;orderBy=asc;onlyTenders=false;topicListKey=topicSearchTablePageState","EE-11-2015","Horizon 2020 Framework Programme (H2020 - 2014-2020)
","Research and Innovation action
","10 December 2014
","single-stage
Deadline date","Scope:
Specific Challenge: To motivate and support citizen's behavioural change to achieve greater energy efficiency taking advantage of ICT (e.g. personalised data driven applications, gaming and social networking) while ensuring energy savings from this new ICT-enabled solutions are greater than the cost for the provision of the services.
Scope: the focus should be on the creation of innovative IT ecosystems that would develop services and applications making use of information generated by energy consumers (e.g. through social networks) or captured from sensors (e.g. smart meters, smart plugs, social media) and micro-generation. These applications range from Apps for smart phones and tablets to serious games to empower consumers stimulate collaboration and enable full participation in the market. The proposed solutions should be deployed and validated in real life conditions in publicly owned buildings (including administrative offices, social housing) and buildings in public use or of public interest. Validation should provide socio-economic evidence for ICT investment in the field and include detailed plans for sustainability and large-scale uptake beyond the project's life time.
Specific attention should be given to development and testing of 'cleanweb' solutions, which not only bring opportunities for consumers, but also represent a promising investment field.
The Commission considers that proposals requesting a contribution from the EU of between EUR 1.5 and 2 million would allow this specific challenge to be addressed appropriately. Nonetheless, this does not preclude submission and selection of proposals requesting other amounts.
Expected impact: Systemic energy consumption and production and emissions reduction between 15% and 30%. Accelerate wide deployment of innovative ICT solutions for energy efficiency. Greater consumer understanding and engagement in energy efficiency.
Type of action: Research & Innovation Actions
Cross-cutting Priorities:
Socio-economic science and humanities"
"4525","Improving the financeability and attractiveness of sustainable energy investments","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/ee-19-2015;callCode=null;freeTextSearchKeyword=;matchWholeText=false;typeCodes=1,2,8;statusCodes=31094501,31094502,31094503;programmePeriod=null;programCcm2Id=null;programDivisionCode=null;focusAreaCode=null;destination=null;mission=null;geographicalZonesCode=null;programmeDivisionProspect=null;startDateLte=null;startDateGte=null;crossCuttingPriorityCode=null;cpvCode=null;performanceOfDelivery=null;sortQuery=sortStatus;orderBy=asc;onlyTenders=false;topicListKey=topicSearchTablePageState","EE-19-2015","Horizon 2020 Framework Programme (H2020 - 2014-2020)
","Coordination and support action
","10 December 2014
","single-stage
Deadline date","Scope:
Specific challenge: Sub-optimal levels of investment in sustainable energy (in particular energy efficiency) are linked to a lack of trust of investors and financiers in the financial viability of sustainable energy measures, a lack of capacity in the public and private sectors to structure their projects, split incentives (e.g. rental buildings), and a lack of large-scale successful flagship projects. New bank capital requirements[1] have decreased banks´ lending capacity and willingness to invest in the sustainable energy sector, which is still deemed by many to be risky
The financial sector needs to be convinced to develop new financing products and practices that can respond to the constraints of the market.
Scope: Project proposals and activities should foster dialogue with and between financial market actors, standardisation and valuation entities, industry, public authorities, consumers and property owners. They should lead to development of new business models and financial products, ensuring synergies of public and private finance.
Proposals focusing on the development of frameworks for standardisation and benchmarking of investments, such as labelling and standardisation of sustainable energy investments / portfolios, or valuation techniques integrating the 'green value' of buildings. Proposals integrated in a broader approach such as socially responsible investment or 'green buildings' should focus on the energy component.
Proposals targeting public institutional investors (e.g. public or semi-public pension schemes) in order to increase the share of their funds invested in sustainable energy, or to develop specific funds or investment products.
Proposals aiming to create EU and national sustainable energy financing platforms to organise dialogue with the relevant stakeholders and (among others) develop roadmaps, propose improvements in the legal frameworks and develop template documents and contracts leading to a better understanding of the market. Proposals must include a clear action plan to communicate across Europe towards potential replicators. The mechanism for knowledge sharing between countries will be established by the Commission services.
The Commission considers that proposals requesting a contribution from the EU of between EUR 0.5 and 2 million would allow this specific challenge to be addressed appropriately. Nonetheless, this does not preclude submission and selection of proposals requesting other amounts.
For all proposals, at least three legal entities must participate in the action; each of the three legal entities shall be established in a different eligible country; and all three legal entities shall be independent of each other. However, proposals aiming to create national sustainable energy financing platforms may be submitted by one entity.
Expected impact: Proposals should lead to reduced uncertainty as regards investments into sustainable energy in terms of increased investors' confidence and trust. Further, relevant projects should deliver innovative (and relevant) asset valuation methodologies agreed by the market and/or standardised descriptions of sustainable energy investments or measures/contracts and/or labelling schemes or harmonised frameworks for sustainable energy investments and/or National strategies for financing sustainable energy investments.
Type of action: Coordination and Support Actions
[1] Basel III
Cross-cutting Priorities:
Socio-economic science and humanities"
"4526","Organisational innovation to increase energy efficiency in industry","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/ee-16-2015;callCode=null;freeTextSearchKeyword=;matchWholeText=false;typeCodes=1,2,8;statusCodes=31094501,31094502,31094503;programmePeriod=null;programCcm2Id=null;programDivisionCode=null;focusAreaCode=null;destination=null;mission=null;geographicalZonesCode=null;programmeDivisionProspect=null;startDateLte=null;startDateGte=null;crossCuttingPriorityCode=null;cpvCode=null;performanceOfDelivery=null;sortQuery=sortStatus;orderBy=asc;onlyTenders=false;topicListKey=topicSearchTablePageState","EE-16-2015","Horizon 2020 Framework Programme (H2020 - 2014-2020)
","Coordination and support action
","10 December 2014
","single-stage
Deadline date","Scope:
Specific challenge: Between 2000 and 2010, energy efficiency in industry has on average improved by 1.3% per year[1]. However by using existing cost-effective energy solutions, the industry sector could further reduce its consumption by at least 13%[2], thus gaining in competitiveness and save nearly 40 Mtoe a year. Obtaining larger savings in industry can also be achieved by introducing new affordable intelligent energy solutions that secures more uptime in production chains.
Scope: Activities should focus on removing market barriers, in particular the lack of expertise and information on energy management. Proposals should primarily address the uptake of cross-cutting innovative technologies, such as energy efficient electric motor driven systems and steam/hot water generation, because these represent 75% of the potential savings in industry[3]. They should also consider total-site energy management schemes and system optimization methodologies to identify saving potentials, monitor progress, and design energy recovery and energy storage solutions. Proposals should put in place mechanisms to secure funding for energy efficiency investments and facilitate the continuation of the activities beyond the project lifetime. The use of renewable energies and waste heat recovery should be encouraged where it is cost-effective. Energy-intensive industries should be prioritised as they account for 70% of industrial energy use. Processes (e.g. drying) which represent a relatively high share of energy consumption in industry should also be considered where appropriate.
The following areas or their combination are also eligible for funding:
Industrial systems efficiency benchmarking: Devise methods and tools including ICT to compare and benchmark the energy performance of industrial systems and processes, and develop guidelines for tailored measures, in particular in energy-intensive industries. Such methods and tools should be based on existing standards where applicable.
Development of sector-specific technology pathways towards 2050 to target the most energy-intensive industrial sectors
Energy management in SMEs and industry: Improve the availability of skilled energy auditors and energy managers and the diffusion of energy management systems and best practices. Develop instruments to ensure the availability of updated, comprehensive and usable information on energy efficiency for industries. Address the issue of access to finance for the actual implementation of energy efficiency upgrades.
Human and organizational challenges: Analysis of motivations, behaviour, perception, and barriers for the involved actors (from decision makers to employees) in the sector, and knowledge about organizational factors influencing energy efficiency.
The Commission considers that proposals requesting a contribution from the EU of between EUR 1.5 and 2 million would allow this specific challenge to be addressed appropriately. Nonetheless, this does not preclude submission and selection of proposals requesting other amounts.
Expected impact: for capacity building projects, every million Euro of EU support is expected to increase the skills of hundreds of people working in the sector, resulting in savings of at least 25 GWh per year. All proposals should demonstrate a significant impact in terms of improved competitiveness; larger investments made by stakeholders in sustainable energy; primary energy savings; better implementation of energy-efficiency policies; number of policy makers influenced; number of people with increased skills; and/or number of people changing their behaviour.
Type of action: Coordination and Support Actions
[1] Odyssee-MURE project (http://www.odyssee-indicators.org/)
[2] http://www.isi.fraunhofer.de/isi-media/docs/e/de/publikationen/BMU_Policy_Paper_20121022.pdf
[3] Although this might depend on the industrial sector. Electric motors, for example, might be embedded in process-specific machines.
Cross-cutting Priorities:
Socio-economic science and humanities"
"4527","Driving energy innovation through large buyer groups","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/ee-17-2015;callCode=null;freeTextSearchKeyword=;matchWholeText=false;typeCodes=1,2,8;statusCodes=31094501,31094502,31094503;programmePeriod=null;programCcm2Id=null;programDivisionCode=null;focusAreaCode=null;destination=null;mission=null;geographicalZonesCode=null;programmeDivisionProspect=null;startDateLte=null;startDateGte=null;crossCuttingPriorityCode=null;cpvCode=null;performanceOfDelivery=null;sortQuery=sortStatus;orderBy=asc;onlyTenders=false;topicListKey=topicSearchTablePageState","EE-17-2015","Horizon 2020 Framework Programme (H2020 - 2014-2020)
","Coordination and support action
","10 December 2014
","single-stage
Deadline date","Scope:
Specific challenge: Buyers of energy-related products can foster innovation by specifying energy performance levels that are higher than the best levels available on the market. The larger the group of buyers, the higher is the potential market and therefore the greater is the interest of manufacturers to meet more ambitious product specifications and to deliver new more energy efficient products. This market-transformation tool, commonly referred to as 'technology procurement', has been applied successfully to a few products such as copiers, electric motors and cold appliances but it could be applied to many more energy-related products if more buyers knew how to use it.
Scope: Actions whereby groups of buyers are established and together set higher-than-available performance levels which manufacturers of sustainable energy productsare called to meet through product innovation. Products should represent a large potential for meeting the EU energy policy targets and have the potential for a large market demand.  Buyer groups should be large and influential and/or composed of market leaders. Technical specifications should be ambitious but achievable without large investments in research and development and without distorting competition between manufacturers of products with the same level of energy performance. It is important that the technology procurement process is associated with communication activities to encourage manufacturers to participate and to make their results more visible.
Proposals addressing the procurement of products that already exist on the market should be submitted under topic EE8.
The Commission considers that proposals requesting a contribution from the EU of between EUR 1.5 and 2 million would allow this specific challenge to be addressed appropriately. Nonetheless, this does not preclude submission and selection of proposals requesting other amounts.
Expected Impact: New energy-using or -producing products with at least 25% better performance than best available products. Improved competitiveness of manufacturers. Creation of influential buyer groups able to transform the appliances market.  
Type of action: Coordination and Support Actions
Cross-cutting Priorities:
Innovation Procurement
Socio-economic science and humanities"
"4528","Improving the financeability and attractiveness of sustainable energy investments","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/ee-19-2014;callCode=null;freeTextSearchKeyword=;matchWholeText=false;typeCodes=1,2,8;statusCodes=31094501,31094502,31094503;programmePeriod=null;programCcm2Id=null;programDivisionCode=null;focusAreaCode=null;destination=null;mission=null;geographicalZonesCode=null;programmeDivisionProspect=null;startDateLte=null;startDateGte=null;crossCuttingPriorityCode=null;cpvCode=null;performanceOfDelivery=null;sortQuery=sortStatus;orderBy=asc;onlyTenders=false;topicListKey=topicSearchTablePageState","EE-19-2014","Horizon 2020 Framework Programme (H2020 - 2014-2020)
","Coordination and support action
","11 December 2013
","single-stage
Deadline date","Scope:
Specific challenge: Sub-optimal levels of investment in sustainable energy (in particular energy efficiency) are linked to a lack of trust of investors and financiers in the financial viability of sustainable energy measures, a lack of capacity in the public and private sectors to structure their projects, split incentives (e.g. rental buildings), and a lack of large-scale successful flagship projects. New bank capital requirements[1] have decreased banks´ lending capacity and willingness to invest in the sustainable energy sector, which is still deemed by many to be risky
The financial sector needs to be convinced to develop new financing products and practices that can respond to the constraints of the market.
Scope: Project proposals and activities should foster dialogue with and between financial market actors, standardisation and valuation entities, industry, public authorities, consumers and property owners. They should lead to development of new business models and financial products, ensuring synergies of public and private finance.
Proposals focusing on the development of frameworks for standardisation and benchmarking of investments, such as labelling and standardisation of sustainable energy investments / portfolios, or valuation techniques integrating the 'green value' of buildings. Proposals integrated in a broader approach such as socially responsible investment or 'green buildings' should focus on the energy component.
Proposals targeting public institutional investors (e.g. public or semi-public pension schemes) in order to increase the share of their funds invested in sustainable energy, or to develop specific funds or investment products.
Proposals aiming to create EU and national sustainable energy financing platforms to organise dialogue with the relevant stakeholders and (among others) develop roadmaps, propose improvements in the legal frameworks and develop template documents and contracts leading to a better understanding of the market. Proposals must include a clear action plan to communicate across Europe towards potential replicators. The mechanism for knowledge sharing between countries will be established by the Commission services.
The Commission considers that proposals requesting a contribution from the EU of between EUR 0.5 and 2 million would allow this specific challenge to be addressed appropriately. Nonetheless, this does not preclude submission and selection of proposals requesting other amounts.
For all proposals, at least three legal entities must participate in the action; each of the three legal entities shall be established in a different eligible country; and all three legal entities shall be independent of each other. However, proposals aiming to create national sustainable energy financing platforms may be submitted by one entity.
Expected impact: Proposals should lead to reduced uncertainty as regards investments into sustainable energy in terms of increased investors' confidence and trust. Further, relevant projects should deliver innovative (and relevant) asset valuation methodologies agreed by the market and/or standardised descriptions of sustainable energy investments or measures/contracts and/or labelling schemes or harmonised frameworks for sustainable energy investments and/or National strategies for financing sustainable energy investments.
Type of action: Coordination and Support Actions
[1] Basel III
Cross-cutting Priorities:
Socio-economic science and humanities"
