"index","title","link","grant_id","programme","type","start","end","description"
"2352","Demonstrating advanced biofuel technologies","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/lce-12-2015;callCode=null;freeTextSearchKeyword=;matchWholeText=false;typeCodes=1,2,8;statusCodes=31094501,31094502,31094503;programmePeriod=null;programCcm2Id=null;programDivisionCode=null;focusAreaCode=null;destination=null;mission=null;geographicalZonesCode=null;programmeDivisionProspect=null;startDateLte=null;startDateGte=null;crossCuttingPriorityCode=null;cpvCode=null;performanceOfDelivery=null;sortQuery=sortStatus;orderBy=asc;onlyTenders=false;topicListKey=topicSearchTablePageState","LCE-12-2015","Horizon 2020 Framework Programme (H2020 - 2014-2020)
","Innovation action
","10 December 2014
","single-stage
Deadline date","Scope:
Specific challenge:In the short-term and medium-term perspective, due to different issues (such as the limited distribution infrastructure of the electrification option, or the unsuitability of such option for certain transport modes), biofuels are expected to be increasing contributors to the de-carbonisation of the transport sector. In order to achieve the EU targets regarding renewable energy in transport and CO2 abatement (set out in the RES and Fuel Quality Directives), and to address concerns regarding indirect and direct environmental impacts of biofuels, new and advanced biofuels using sustainable feedstock need to reach the market. To this end, the following sub-challenges should be addressed:
Proving that advanced biofuels and bioenergy carriers technologies, as identified in the Implementation Plan of the European Industrial Bioenergy Initiative (EIBI)[1], are technically viable, environmentally and socially sustainable, and potentially cost-competitive at commercial scale.
Developing logistic systems for a sound, safe and sustainable feedstock supply.
Scope: Proposals should address the medium-term challenges for market penetration of advanced biofuels as presented above. In each case, they should address one of the respective sub-challenges, or a combination of them. They should bring technology solutions to a higher TRL level (please see part G of the General Annexes), in line with the Implementation Plan of the European Industrial Bioenergy Initiative (EIBI)[2]. Proposals shall aim at moving technologies that reached already TRL 5-6 to TRL 6-7 through industrial demonstration projects[3].
Environment, health and safety issues in the whole life cycle should be considered in all demonstrations and appropriately addressed. An assessment of alternative uses of the used feedstocks outside the bioenergy sector should also be done.
Biofuels produced from starch, sugar and oil fractions of food/feed crops are excluded.
An important element for the entire area of renewables will be an increased understanding of risks (whether technological, in business processes, for particular business cases, or otherwise in each area), risk ownership, and possible risk mitigation. Proposals shall therefore include appropriate work packages on this matter.
Proposals shall explicitly address performance and cost targets together with relevant key performance indicators and the expected impacts. Industrial involvement in the consortium and explicit exploitation plans are a prerequisite.
All proposals have to include a work package on the business case of the technology solution being addressed. This work package has to demonstrate the business case of the technology and identify potential issues of public acceptance, market and regulatory barriers, including standardisation needs. It should also address, where appropriate, synergies between new and existing technologies, regional approaches and other socio-economic and environmental aspects from a life-cycle perspective. 
The current Manufacturing Readiness Level (MRL, see Annex to this work programme) and the activities needed to keep the MRL aligned with the advances in the TRL that will be undertaken in the proposal should also be indicated to ensure the potential for exploitation.
Opening the project's test sites, pilot and demonstration facilities, or research infrastructures for practice oriented education, training or knowledge exchange is encouraged.
The Commission considers that proposals requesting a contribution from the EU of between EUR 5 to 20 million would allow this specific challenge to be addressed appropriately. Nonetheless, this does not preclude submission and selection of proposals requesting other amounts.
Expected impact: Testing advanced biofuel technologies at large industrial scale reduces the technological risks, paving the way for subsequent first-of-a-kind, commercial-scale industrial demonstration projects. For this purpose, the scale of the proposals should permit obtaining the data and experience required so that a first-of-a-kind, commercial-scale industrial demonstration project can be envisaged as a next step. The industrial concepts demonstrated should have the potential for a significant social and economic impact, notably in terms of job creation, economic growth and safe and affordable energy supply in Europe and beyond.
Type of action: Innovation Actions
[1] The EIBI Implementation Plan is found on http://setis.ec.europa.eu/set-plan-implementation/european-industrial-initiatives-eiis/eii-implementation-plans
[2] Note that an eligibility criterion sets a minimum bioenergy content: at least 70% of the marketable bio-products produced by the plant shall be bioenergy (biofuels, bioenergy carriers, heat, power) calculated on the basis of the energy content.
[3] Coordination is foreseen to avoid duplication of efforts under the Energy Work Programme and the Bio-Based Industries JTI regarding biomass supply and logistics which could be addressed under both support schemes and regarding energy driven biorefineries, i.e. those with a minimum of 70% bioenergy output, in case such biorefineries are selected for funding under the Bio-Based Industries JTI."
"2353","Near-to-market solutions for the use of solar heat in industrial processes","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/lce-12-2017;callCode=null;freeTextSearchKeyword=;matchWholeText=false;typeCodes=1,2,8;statusCodes=31094501,31094502,31094503;programmePeriod=null;programCcm2Id=null;programDivisionCode=null;focusAreaCode=null;destination=null;mission=null;geographicalZonesCode=null;programmeDivisionProspect=null;startDateLte=null;startDateGte=null;crossCuttingPriorityCode=null;cpvCode=null;performanceOfDelivery=null;sortQuery=sortStatus;orderBy=asc;onlyTenders=false;topicListKey=topicSearchTablePageState","LCE-12-2017","Horizon 2020 Framework Programme (H2020 - 2014-2020)
","Innovation action
","11 May 2017
","single-stage
Deadline date","Specific Challenge:
The potential for the use of solar heat for industrial purposes is still largely untapped. The challenge is to reduce the technical complexity and develop cost effective solutions.
Scope:
Proposals shall demonstrate less complex and cost effective technical solutions which significantly increase the share of solar heat in industrial processes and which can be easily integrated into existing industrial plants.
TRL 7 shall be achieved at the end of project activities (please see part G of the General Annexes).
Opening the project's test sites, pilot and demonstration facilities, or research infrastructures for practice oriented education, training or knowledge exchange is encouraged.
The Commission considers that proposals requesting a contribution from the EU of between EUR 5 to 8 million would allow this specific challenge to be addressed appropriately. Nonetheless, this does not preclude submission and selection of proposals requesting other amounts
Expected Impact:
The action will result in solutions which demonstrate that solar heat can be a reliable energy source for industrial processes, therefore bringing significant prospects for the market uptake of this renewable energy source and for the decarbonisation of industrial processes."
"2354","Supporting Joint Actions on demonstration and validation of innovative energy solutions","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/lce-18-2014;callCode=null;freeTextSearchKeyword=;matchWholeText=false;typeCodes=1,2,8;statusCodes=31094501,31094502,31094503;programmePeriod=null;programCcm2Id=null;programDivisionCode=null;focusAreaCode=null;destination=null;mission=null;geographicalZonesCode=null;programmeDivisionProspect=null;startDateLte=null;startDateGte=null;crossCuttingPriorityCode=null;cpvCode=null;performanceOfDelivery=null;sortQuery=sortStatus;orderBy=asc;onlyTenders=false;topicListKey=topicSearchTablePageState","LCE-18-2014","Horizon 2020 Framework Programme (H2020 - 2014-2020)
","ERA-NET Cofund
","11 December 2013
","single-stage
Deadline date","Scope:
Specific challenge:Without a technological shift in our current energy system, the EU will fail on its 2050 ambitions to largely decarbonise the energy and transport sectors. The EU needs to accelerate innovation in cutting edge low carbon technologies and innovative solutions, and bridge the gap between research and the market.  A European approach is essential to realise the ambition of seeing low carbon technologies effectively developed in view of bringing them to the market: it allows key players to come together on a continental scale; it helps to identify and to tackle the barriers holding back innovative products and services in the single market; and it allows different sources of private and public funding to be brought together. Today, EU funding remains a limited part of the overall funding across Europe. Implementation needs to be increasingly based on partnerships that build the necessary scale and scope, and achieve greater impact from scarce public and private resources.
Scope: The proposals should aim at coordinating the research efforts of the participating Member States, Associated States and Regions in the areas and challenges targeted in this 'Competitive low-carbon energy' call or in the ‘Smart Cities and Communities’ call and to implement a joint transnational call for proposals resulting in grants to third parties with EU co-funding to fund multinational innovative research initiatives in this domain. Proposers are encouraged to implement other joint activities including additional joint calls without EU co-funding.
Activities should focus on demonstrating and validating solutions that reached already TRL 5-6 and bringing them to TRL 6-7 (please see part G of the General Annexes). Lower TRL research activities necessary to support this work and forming an integral part of these proposals, will be in scope for funding, provided the bulk of the activities in the proposal remains focused on demonstrating and validating solutions. Appropriate user and general public acceptance, regulatory, market up-take (e.g. e.g. regulatory issues, capacity building and access to finance), social, environmental and resource efficiency aspects should be included. Opening up demonstration facilities for practice-oriented education and training is encouraged. As regards a possible ERA-NET in the area of ‘Smart Cities and Communities’, cooperation with emerging countries (e.g. China) is encouraged, without prejudice of their participation as partners in other initiatives, such as in call for Smart Cities and Communities.
The Commission considers that proposals requesting a contribution from the EU in the range of 10 to 20 million Euro would allow this specific challenge to be addressed appropriately. Nonetheless, this does not preclude submission and selection of proposals requesting other amounts.
Expected impact: Acceleration of the time to market of, affordable, cost-effective and resource-efficient technology solutions to decarbonise the energy system in a sustainable way, secure energy supply and complete the energy internal market. Reduction of the environmental footprint and the energy payback time. Strengthening the European industrial technology base, thereby creating growth and jobs in Europe.
Type of action: ERA-NET Cofund
Cross-cutting Priorities:
International cooperation
ERA-NET"
"2355","Supporting Joint Actions on demonstration and validation of innovative energy solutions","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/lce-18-2015;callCode=null;freeTextSearchKeyword=;matchWholeText=false;typeCodes=1,2,8;statusCodes=31094501,31094502,31094503;programmePeriod=null;programCcm2Id=null;programDivisionCode=null;focusAreaCode=null;destination=null;mission=null;geographicalZonesCode=null;programmeDivisionProspect=null;startDateLte=null;startDateGte=null;crossCuttingPriorityCode=null;cpvCode=null;performanceOfDelivery=null;sortQuery=sortStatus;orderBy=asc;onlyTenders=false;topicListKey=topicSearchTablePageState","LCE-18-2015","Horizon 2020 Framework Programme (H2020 - 2014-2020)
","ERA-NET Cofund
","10 December 2014
","single-stage
Deadline date","Scope:
Specific challenge:Without a technological shift in our current energy system, the EU will fail on its 2050 ambitions to largely decarbonise the energy and transport sectors. The EU needs to accelerate innovation in cutting edge low carbon technologies and innovative solutions, and bridge the gap between research and the market.  A European approach is essential to realise the ambition of seeing low carbon technologies effectively developed in view of bringing them to the market: it allows key players to come together on a continental scale; it helps to identify and to tackle the barriers holding back innovative products and services in the single market; and it allows different sources of private and public funding to be brought together. Today, EU funding remains a limited part of the overall funding across Europe. Implementation needs to be increasingly based on partnerships that build the necessary scale and scope, and achieve greater impact from scarce public and private resources.
Scope: The proposals should aim at coordinating the research efforts of the participating Member States, Associated States and Regions in the areas and challenges targeted in this 'Competitive low-carbon energy' call or in the ‘Smart Cities and Communities’ call and to implement a joint transnational call for proposals resulting in grants to third parties with EU co-funding to fund multinational innovative research initiatives in this domain. Proposers are encouraged to implement other joint activities including additional joint calls without EU co-funding.
Activities should focus on pre-commercial demonstrations and on validating solutions for these technology areas that accelerate their move towards commercialisation and competitive deployment, consistent with SET Plan objectives. Research activities necessary to support this work and forming an integral part of these proposals and solutions, will also be in scope for funding.
Appropriate user and general public acceptance, regulatory, market up-take (e.g. e.g. regulatory issues, capacity building and access to finance), social, environmental and resource efficiency aspects should be included. Opening up demonstration facilities for practice-oriented education and training is encouraged. As regards a possible ERA-NET in the area of ‘Smart Cities and Communities’, cooperation with emerging countries (e.g. China) is encouraged, without prejudice of their participation as partners in other initiatives, such as in call for Smart Cities and Communities.
The Commission considers that proposals requesting a contribution from the EU of between EUR 10 to 20 million would allow this specific challenge to be addressed appropriately. Nonetheless, this does not preclude submission and selection of proposals requesting other amounts.
Expected impact: Acceleration of the time to market of, affordable, cost-effective and resource-efficient technology solutions to decarbonise the energy system in a sustainable way, secure energy supply and complete the energy internal market. Reduction of the environmental footprint and the energy payback time. Strengthening the European industrial technology base, thereby creating growth and jobs in Europe.
Type of action: ERA-NET Cofund
Cross-cutting Priorities:
ERA-NET
International cooperation"
"2356","EGS in different geological conditions","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/lce-18-2017;callCode=null;freeTextSearchKeyword=;matchWholeText=false;typeCodes=1,2,8;statusCodes=31094501,31094502,31094503;programmePeriod=null;programCcm2Id=null;programDivisionCode=null;focusAreaCode=null;destination=null;mission=null;geographicalZonesCode=null;programmeDivisionProspect=null;startDateLte=null;startDateGte=null;crossCuttingPriorityCode=null;cpvCode=null;performanceOfDelivery=null;sortQuery=sortStatus;orderBy=asc;onlyTenders=false;topicListKey=topicSearchTablePageState","LCE-18-2017","Horizon 2020 Framework Programme (H2020 - 2014-2020)
","Innovation action
","11 May 2017
","single-stage
Deadline date","Specific Challenge:
Geothermal resources at medium-high temperature can produce at competitive costs electricity, heat or a combination of both. Routinely created enhanced geothermal systems (EGS) offer the opportunity to produce geothermal energy throughout Europe, including in locations where natural reservoirs are not available. In order to increase the number of geothermal installations, enhanced geothermal systems (EGS) have to be demonstrated as cost-competitive whereby innovative solutions are needed to allow for applications in geologic systems with different characteristics and of different origin.
Scope:
Proposals should aim at testing EGS systems to ensure reservoir productivity in different geological settings and energy production at competitive costs. Proposals could propose up-scaling existing EGS systems.
TRL 7 shall be achieved at the end of project activities (please see part G of the General Annexes).
Opening the project's test sites, pilot and demonstration facilities, or research infrastructures for practice oriented education, training or knowledge exchange is encouraged.
The Commission considers that proposals requesting a contribution from the EU of between EUR 6 to 10 million would allow this specific challenge to be addressed appropriately. Nonetheless, this does not preclude submission and selection of proposals requesting other amounts.
Expected Impact:
The actions will provide the data and the experience required to lower the costs for geothermal electricity and heat production in different geological conditions applying the EGS technology. The action will contribute to increase the penetration of geothermal energy by demonstrating the viability of EGS."
"2357","Supporting coordination of national R&D activities","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/lce-19-2014;callCode=null;freeTextSearchKeyword=;matchWholeText=false;typeCodes=1,2,8;statusCodes=31094501,31094502,31094503;programmePeriod=null;programCcm2Id=null;programDivisionCode=null;focusAreaCode=null;destination=null;mission=null;geographicalZonesCode=null;programmeDivisionProspect=null;startDateLte=null;startDateGte=null;crossCuttingPriorityCode=null;cpvCode=null;performanceOfDelivery=null;sortQuery=sortStatus;orderBy=asc;onlyTenders=false;topicListKey=topicSearchTablePageState","LCE-19-2014","Horizon 2020 Framework Programme (H2020 - 2014-2020)
","Coordination and support action
","11 December 2013
","single-stage
Deadline date","Scope:
Specific challenge:Without a technological shift in our current energy system, the EU will fail on its 2050 ambitions to largely decarbonise the energy and transport sectors. The EU needs to accelerate innovation in cutting edge low carbon technologies and innovative solutions, and bridge the gap between research and the market.  A European approach is essential to realise the ambition of seeing low carbon technologies effectively developed in view of bringing them to the market: it allows key players to come together on a continental scale; it helps to identify and to tackle the barriers holding back innovative products and services in the single market; and it allows different sources of private and public funding to be brought together. Today, EU funding remains a limited part of the overall funding across Europe. Implementation needs to be increasingly based on partnerships that build the necessary scale and scope, and achieve greater impact from scarce public and private resources. The challenge is to drive synchronisation of funding processes by fostering cross-border cooperation among partners supported by national projects and programmes.
Scope: As a pilot case, the scope will be on the areas and challenges targeted in this 'Competitive low-carbon energy' call. Research and Innovation activities in the proposals should focus on bringing technology solutions from TRL 3 to TRL 5 (please see part G of the General Annexes). Activities should focus on supporting either:
The transfer of knowledge among participants and other dissemination activities, activities to foster the use of research outcomes by industry of a  project resulting from synchronised funding processes of at least three Member States, or
The coordination of call for proposals of at least three Member States, for instance, through support to networking activities of public funding bodies, leading to the promotion of the use of single peer-reviewed evaluations, development and use of harmonised monitoring and review methodologies, support to the preparation of high risk, high cost large scale pilots for joint actions with or without EC funding, linking national research programmes and other funding mechanisms and building partnerships with the necessary scale and scope etc.
The Commission considers that proposals requesting a contribution from the EU of between EUR 0.1 to 0.5 million would allow this specific challenge to be addressed appropriately. Nonetheless, this does not preclude submission and selection of proposals requesting other amounts.
Expected impact:
Reinforcing the European dimension of multinational projects resulting from synchronised funding processes of at least three Member States,
Increasing coordination and alignment of national research and innovation programmes, overcoming gaps, duplication and fragmentation, creating a leverage effect, enhancing coherence and efficiency of energy research in Europe.
Type of action: Coordination and Support Actions"
"2358","Supporting coordination of national R&D activities","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/lce-19-2015;callCode=null;freeTextSearchKeyword=;matchWholeText=false;typeCodes=1,2,8;statusCodes=31094501,31094502,31094503;programmePeriod=null;programCcm2Id=null;programDivisionCode=null;focusAreaCode=null;destination=null;mission=null;geographicalZonesCode=null;programmeDivisionProspect=null;startDateLte=null;startDateGte=null;crossCuttingPriorityCode=null;cpvCode=null;performanceOfDelivery=null;sortQuery=sortStatus;orderBy=asc;onlyTenders=false;topicListKey=topicSearchTablePageState","LCE-19-2015","Horizon 2020 Framework Programme (H2020 - 2014-2020)
","Coordination and support action
","10 December 2014
","single-stage
Deadline date","Scope:
Specific challenge:Without a technological shift in our current energy system, the EU will fail on its 2050 ambitions to largely decarbonise the energy and transport sectors. The EU needs to accelerate innovation in cutting edge low carbon technologies and innovative solutions, and bridge the gap between research and the market.  A European approach is essential to realise the ambition of seeing low carbon technologies effectively developed in view of bringing them to the market: it allows key players to come together on a continental scale; it helps to identify and to tackle the barriers holding back innovative products and services in the single market; and it allows different sources of private and public funding to be brought together. Today, EU funding remains a limited part of the overall funding across Europe. Implementation needs to be increasingly based on partnerships that build the necessary scale and scope, and achieve greater impact from scarce public and private resources. The challenge is to drive synchronisation of funding processes by fostering cross-border cooperation among partners supported by national projects and programmes.
Scope: As a pilot case, the scope will be on the areas and challenges targeted in this 'Competitive low-carbon energy' call. Research and Innovation activities in the proposals should focus on bringing technology solutions from TRL 3 to TRL 5 (please see part G of the General Annexes). Activities should focus on supporting either:
The transfer of knowledge among participants and other dissemination activities, activities to foster the use of research outcomes by industry of a  project resulting from synchronised funding processes of at least three Member States, or
The coordination of call for proposals of at least three Member States, for instance, through support to networking activities of public funding bodies, leading to the promotion of the use of single peer-reviewed evaluations, development and use of harmonised monitoring and review methodologies, support to the preparation of high risk, high cost large scale pilots for joint actions with or without EC funding, linking national research programmes and other funding mechanisms and building partnerships with the necessary scale and scope etc.
The Commission considers that proposals requesting a contribution from the EU of between EUR 0.1 to 0.5 million would allow this specific challenge to be addressed appropriately. Nonetheless, this does not preclude submission and selection of proposals requesting other amounts.
Expected impact:
Reinforcing the European dimension of multinational projects resulting from synchronised funding processes of at least three Member States,
Increasing coordination and alignment of national research and innovation programmes, overcoming gaps, duplication and fragmentation, creating a leverage effect, enhancing coherence and efficiency of energy research in Europe.
Type of action: Coordination and Support Actions"
"2359","International Cooperation with Mexico on geothermal energy","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/lce-23-2016;callCode=null;freeTextSearchKeyword=;matchWholeText=false;typeCodes=1,2,8;statusCodes=31094501,31094502,31094503;programmePeriod=null;programCcm2Id=null;programDivisionCode=null;focusAreaCode=null;destination=null;mission=null;geographicalZonesCode=null;programmeDivisionProspect=null;startDateLte=null;startDateGte=null;crossCuttingPriorityCode=null;cpvCode=null;performanceOfDelivery=null;sortQuery=sortStatus;orderBy=asc;onlyTenders=false;topicListKey=topicSearchTablePageState","LCE-23-2016","Horizon 2020 Framework Programme (H2020 - 2014-2020)
","Research and Innovation action
","27 October 2015
","single-stage
Deadline date","Specific Challenge:
Mexico and Europe have high potential for geothermal energy generation; in particular the Mexican geothermal resource settings provide a unique opportunity to apply and further develop methodologies and technologies in the field of EGS (Enhanced Geothermal Systems) and of superhot systems. Cooperation activities are proposed in the framework of the Bilateral Agreement on Science and Technology between the European Union and the United States of Mexico.
The challenge is to increase knowledge and expertise to reduce technological and social risks associated with the development and exploitation of EGS and superhot geothermal fluids. For EGS, issues such as long-term productivity and unwanted side effects, such as induced seismicity, need to be controlled. In superhot systems the geothermal community needs more experience to address the specific challenges arising from the very hot fluids. These challenges include reliable characterization of the geothermal potential and the interaction of these very hot fluids with subsurface and surface installations. Scientific challenges to be addressed include: prediction of chemical and geological properties and their effect on geothermal operations; advanced fracture characterization technologies to determine the ideal exploitation scheme; identification of ideal areas for locating deep wells; high temperature well-logging tools and sensors; smart (high temperature) tracers.
Scope:
The development of unconventional geothermal systems such as EGS and superhot geothermal resources (including those above the critical point of water) needs further validation and demonstration in specific high-temperature geological environments. Mexico is chosen for testing and developing these technologies further in a relevant geological environment. The focus should be on establishing an inventory of the expanded resource base and on the development of test sites in specific locations.
Proposals shall aim at moving from TRL 3-4 to TRL 4-5 (please see part G of the General Annexes).
Beyond the appropriate regional approach in Mexico, generalised environmental aspects and public acceptance concerns need to be addressed in every phase of the project. Transfer of the knowledge gained to different areas should be pursued. Exploration studies will be performed to provide a comprehensive knowledge of the sites and applied to meet the specific challenges highlighted above.
Proposals requesting a contribution from the EU of around EUR 10 million would allow this specific challenge to be addressed appropriately. Nonetheless, this does not preclude submission and selection of proposals requesting other amounts.
Expected Impact:
The project is expected to progress in the technology development applying and consolidating concepts and technologies in different geological contexts therefore reducing technological and social risks of geothermal developments. The project will promote innovation and technological development in Mexico, establishing a reliable scientific framework to increase the number of commercial geothermal activities. In the project context a strengthening of the European geothermal technology base is also expected, expanding European market for geothermal technologies and creating growth and jobs. Scientific exchange of researches and capacity building are envisaged as an indirect project impact.
Proposals should appropriately exploit the complementarities between the EU and Mexico, and pave the way for significant enhancement in the cooperation between researchers and research institutions.
Cross-cutting Priorities:
International cooperation"
"2360","International Cooperation with South Korea on new generation high-efficiency capture processes","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/lce-24-2016;callCode=null;freeTextSearchKeyword=;matchWholeText=false;typeCodes=1,2,8;statusCodes=31094501,31094502,31094503;programmePeriod=null;programCcm2Id=null;programDivisionCode=null;focusAreaCode=null;destination=null;mission=null;geographicalZonesCode=null;programmeDivisionProspect=null;startDateLte=null;startDateGte=null;crossCuttingPriorityCode=null;cpvCode=null;performanceOfDelivery=null;sortQuery=sortStatus;orderBy=asc;onlyTenders=false;topicListKey=topicSearchTablePageState","LCE-24-2016","Horizon 2020 Framework Programme (H2020 - 2014-2020)
","Research and Innovation action
","27 October 2015
","single-stage
Deadline date","Specific Challenge:
The wider deployment of CCS requires a significant reduction of the energy intensity of the capture process for power plants or other energy-intensive industries, and a substantial decrease of the cost of capture. Basic research and proof of concept is needed for novel and efficient capture technologies for application in power production and industrial process.
Scope:
The objective is to support the development of high-potential novel technologies or processes for post- and/or pre-combustion CO2 capture. Research should follow new paths leading to highly innovative technologies and materials for CO2 capture applications with the potential for real breakthroughs. This could include systems based on solids or liquids or a combination of these such as Dry Sorption Process, Membrane, and Wet sorption process. Environmentally benign technologies should be pursued and their environmental impact addressed in the project also in view of future scaling up. Projects shall include prototype testing under industrially relevant conditions. Any research that constitutes a technology demonstration at large scale or a combination of CCS technologies proven at pre-demonstration pilot scale will not be considered for funding.
With a view to promoting international cooperation with South Korea, initiatives for collaboration between the EU project(s) to be selected under this topic and the endorsed South Korean project(s) will be required on the basis of mutual benefit and reciprocity. Specific budget needs to be allocated in the EU project for pursuing such twinning activities (e.g. exchange of information, exchange of researchers). The Commission reserves the right to ask the coordinators of Horizon 2020 projects, during the grant preparation, to include further collaboration activities endorsed by the Korean Ministry of Science, ICT and Future Planning (MSIP).
Focus should be on progressing technologies that already reached TRL 2-3 to TRL 4-5 (please see part G of the General Annexes).
A related activity is supported under topic NMBP 22-2017: ""High-performance materials for optimizing CO2 capture"", included in the work programme part 'Leadership in enabling and industrial technologies – 5.ii Nanotechnologies, Advanced Materials, Biotechnology and Advanced Manufacturing and Processing', in which the focus is capitalising on promising material solutions for the next generation CO2 capture technologies.
Proposals requesting a contribution from the EU of between EUR 2 to 5 million would allow this specific challenge to be addressed appropriately. Nonetheless, this does not preclude submission and selection of proposals requesting other amounts.
Expected Impact:
Significant reduction of the energy penalty of the whole capture process for power plants or other energy-intensive industries, and thus a considerable decrease of the fuel-dependent cost of capture; substantial reduction of the capital cost and of the operational and maintenance (O&M) costs (fixed and non-fuel variable costs) compared to existing technologies.
Cross-cutting Priorities:
International cooperation"
"2361","Utilisation of captured CO2 as feedstock for the process industry","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/lce-25-2016;callCode=null;freeTextSearchKeyword=;matchWholeText=false;typeCodes=1,2,8;statusCodes=31094501,31094502,31094503;programmePeriod=null;programCcm2Id=null;programDivisionCode=null;focusAreaCode=null;destination=null;mission=null;geographicalZonesCode=null;programmeDivisionProspect=null;startDateLte=null;startDateGte=null;crossCuttingPriorityCode=null;cpvCode=null;performanceOfDelivery=null;sortQuery=sortStatus;orderBy=asc;onlyTenders=false;topicListKey=topicSearchTablePageState","LCE-25-2016","Horizon 2020 Framework Programme (H2020 - 2014-2020)
","Research and Innovation action
","27 October 2015
","single-stage
Deadline date","Specific Challenge:
Capture of CO2 from power plants or industrial processes and subsequent utilisation through (bio-) chemical transformation into high-volume added value products (CCU) can be an alternative to geological storage which could provide an important cost reduction to the entire CO2 sequestration process. CO2 utilisation has the potential to contribute to reducing greenhouse gas emissions if the CO2 replaces manufactured CO2 or the resulting product provides long term abatement of the CO2, or if CO2 replaces fossil fuels as raw materials, depending on the amount of extra energy used in the process. In addition, the conversion of CO2 into fuels could provide opportunities for energy storage and for higher security of fuel supply.
There are still relevant and significant scientific and technological challenges to be able to exploit the CO2 as a chemical and fuel feedstock in a systematic manner. Therefore, it is necessary to demonstrate the feasibility of such CO2 utilisation technologies to produce added value products at larger scale, in an operational environment to be able to assess the industrial, economic and environmental potential of such technologies.
Scope:
In the context of energy research, the focus will be on CO2 utilisation options that have the potential to yield a significant, net reduction of CO2 emissions in volumes sufficient to make a meaningful contribution to our climate change objectives. The use of CO2 for enhanced oil recovery is out of scope of this topic. Projects should address the specific technology needs for capture and purification of CO2 emitted by the power or process industry to deliver the desired concentration and purity for the subsequent conversion process. Technology developments must be accompanied by a Life-Cycle-Assessment (LCA) study, identification of appropriate business model and measures to support market up-take.
Proposals should address innovative processes to produce high-volume added value products from CO2 and demonstrate the technical and economic feasibility in an industrially relevant environment through demonstration of a system prototype. The proposed technologies should also consider the energy balance and the type of energy required for CO2 transformations, the CO2 abatement potential (in terms of time-scale and volume) and process sensitivity to flexible (intermittent) operation. The implementation of this proposal is intended to start at TRL 5-6 and target TRL 6-7 (please see part G of the General Annexes). An indication and justification of the current TRL as well as a plan to reach the targeted TRL should be part of the proposal.
This topic is contributing to the PPP “SPIRE” (Sustainable Process Industry through Resource and Energy Efficiency).
Related activities are supported under the topic SPIRE 08-2017: 'CO2 Utilisation to produce added value chemicals' and NMBP 21-2017: 'Cost-effective materials for “power-to-chemical” technologies for materials aspects', both included in the work programme part 'Leadership in enabling and industrial technologies – 5.ii Nanotechnologies, Advanced Materials, Biotechnology and Advanced Manufacturing and Processing'.
The Commission considers that proposals requesting a contribution from the EU between EUR 6 and 10 million would allow this specific challenge to be addressed appropriately. Nonetheless, this does not preclude submission and selection of proposals requesting other amounts.
Expected Impact:
Demonstration, in the relevant environment and scale, of the technical and economic feasibility of novel and environmentally friendly processes for CO2 conversion to high-volume added-value products such as chemicals and/or fuels. Reduction of the emissions of greenhouse gases on full LCA basis. Significant decrease of the cost of CCU vs. CCS. Improved energy and resource intensity with respect to conventional manufacturing of the same product. These impacts must be quantified and justified.
Cross-cutting Priorities:
Contractual Public-Private Partnerships (cPPPs)
SPIRE"
