"index","title","link","grant_id","programme","type","start","end","description"
"4989","Breakthrough innovation for European Aviation","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/mg-1.5-2014;callCode=null;freeTextSearchKeyword=;matchWholeText=false;typeCodes=1,2,8;statusCodes=31094501,31094502,31094503;programmePeriod=null;programCcm2Id=null;programDivisionCode=null;focusAreaCode=null;destination=null;mission=null;geographicalZonesCode=null;programmeDivisionProspect=null;startDateLte=null;startDateGte=null;crossCuttingPriorityCode=null;cpvCode=null;performanceOfDelivery=null;sortQuery=sortStatus;orderBy=asc;onlyTenders=false;topicListKey=topicSearchTablePageState","MG-1.5-2014","Horizon 2020 Framework Programme (H2020 - 2014-2020)
","Research and Innovation action
","11 December 2013
","28 August 2014","Scope:
Specific challenge: A number of very ambitious goals have been set by the sector at horizon 2050 in the Strategic Research and Innovation Agenda (SRIA) of the Advisory Council for Aviation Research and Innovation in Europe (ACARE). Many of these goals will not be reached through an evolutionary approach only. Breakthrough innovations are needed, i.e. new solutions which rely on a disruption with respect to current approaches.
Scope: The proposed research and innovation actions could address the vehicles as well as the air transport system. Regarding vehicles, research and innovation actions could target new technologies and concepts that are not currently used in aeronautics or that have not yet being put in combination in the aviation sector. This could be, for example, radical new approaches to propulsion, to the use of energy, new types of vehicles, etc.
Regarding the air transport system, the proposed research and innovation actions could address radical new concepts for the way vehicles, passengers and freight are handled in airports, the type of handling and servicing equipment used, the way airports are organised and connected to other modes, the way information is shared, used and handled on the landside part of the airport.
The proposals should aim at demonstrating the validity of the technologies and concepts following a sound technical and scientific approach. The performance should be assessed preferably quantitatively against the relevant criteria such as for example economic viability, time efficiency, safety, potential to cope with evolutions of regulations, passenger friendliness, social acceptance, etc. Considering that a large fraction of air pollution on airports is caused by handling and servicing, aspects of environmental friendliness and energy sustainability should be taken into account. The actions should also assess at the end of the project the potential of the technologies to be developed at further technology readiness levels and barriers that could prevent such developments.
The Commission considers that proposals requesting a contribution from the EU of between EUR 2 to 4 million each would allow this specific challenge to be addressed appropriately. Nonetheless, this does not preclude submission and selection of proposals requesting other amounts.
Expected impact: Actions will demonstrate their potential to mature the Technology Readiness Level (TRL; please see part G of the General Annexes) in the range 1-2, to prepare the ground for future highly innovative breakthrough products and services for European aviation which will contribute to decrease the environmental impact, enhance the competitiveness, the mobility and the levels of safety. Actions will also provide ad-hoc indicators to evaluate the potential improvements that the breakthrough technology / concept is capable of bringing, using realistic hypothesis and scenarios.
Type of action: Research and Innovation Actions
Cross-cutting Priorities:
Socio-economic science and humanities"
"4990","Improving skills and knowledge base in European Aviation","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/mg-1.6-2014;callCode=null;freeTextSearchKeyword=;matchWholeText=false;typeCodes=1,2,8;statusCodes=31094501,31094502,31094503;programmePeriod=null;programCcm2Id=null;programDivisionCode=null;focusAreaCode=null;destination=null;mission=null;geographicalZonesCode=null;programmeDivisionProspect=null;startDateLte=null;startDateGte=null;crossCuttingPriorityCode=null;cpvCode=null;performanceOfDelivery=null;sortQuery=sortStatus;orderBy=asc;onlyTenders=false;topicListKey=topicSearchTablePageState","MG-1.6-2014","Horizon 2020 Framework Programme (H2020 - 2014-2020)
","Coordination and support action
","11 December 2013
","single-stage
Deadline date","Scope:
Specific challenge: The European aviation sector should have access to a highly skilled workforce which can rely on a strong scientific knowledge base to be able to properly address the environmental and competitiveness challenges facing both the aeronautics and the air transport sectors. Two specific domains have to be addressed:
1.    To analyse and define the evolving skill needs of the sector and propose changes to the education of aviation engineers accordingly, and to attract more young people to aviation careers.
2.    To reduce the fragmentation in the dissemination of scientific and technical knowledge in Europe and enhance its global impact.
Scope: Proposals should address fully one of the two following domains:
1.    Regarding the education of aviation engineers in Europe, the scope of the action is to identify the skill needs in the sector, propose improvements including on gender issue and further contribute to the harmonisation of the content of the curricula for aviation engineers towards the creation of a Europe wide system. The action should also develop and share outreach material and organise events to attract young people to studies leading to aviation careers. The initiative should build on existing mechanisms and associations. The consortium should include representatives from the aviation industry, research establishments and education institutions so that the proposed solutions can acquire recognition and support from these different stakeholders.
2.    Regarding the dissemination of scientific and technical knowledge, the scope of the action is to create a Europe wide coordination mechanism gathering a representative group of associations active in the field of aviation to harmonise and rationalise conferences, events and publications. The action will contribute to enhance the impact and accessibility of publications relevant to European aviation, in particular those issued from EU funded projects. The actions should aim at being self-supportable after the end of the project.
Expected impact:
Regarding domain 1, the proposed actions will demonstrate their capacity to contribute to increase the attractiveness, quality, coherence and relevance of the curricula, enhance teaching methods and the profile of engineers matching the evolving and growing needs of the sector. The potential impact should be expressed in the light of the number of engineers which could benefit from the improvements and time / manpower savings when compared to the extra time young engineers need to adapt / train under the current situation before they can be operational.
Regarding domain 2, the proposed actions will contribute to raise the impact and visibility of European conferences and events, to optimise the number and the yearly calendar of events and enhance the impact factor of scientific publications, their availability and access, in particular for those created in EU funded projects. The impact should be expressed in terms of: the time that could be saved for scientists / researchers when participating to conferences resulting from an optimised calendar of events, the time that could be saved in the search of information resulting from a centralised and structured approach to publications repository and the potential gain in impact factor resulting from an organised approach to EU-based journals. The gain of attractiveness of the European scientific dissemination system (compared to the US or other regions of the world) should be assessed qualitatively.
Type of action: Coordination and Support Actions
Cross-cutting Priorities:
Socio-economic science and humanities
Gender"
"4991","Support to European Aviation Research and Innovation Policy","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/mg-1.7-2014;callCode=null;freeTextSearchKeyword=;matchWholeText=false;typeCodes=1,2,8;statusCodes=31094501,31094502,31094503;programmePeriod=null;programCcm2Id=null;programDivisionCode=null;focusAreaCode=null;destination=null;mission=null;geographicalZonesCode=null;programmeDivisionProspect=null;startDateLte=null;startDateGte=null;crossCuttingPriorityCode=null;cpvCode=null;performanceOfDelivery=null;sortQuery=sortStatus;orderBy=asc;onlyTenders=false;topicListKey=topicSearchTablePageState","MG-1.7-2014","Horizon 2020 Framework Programme (H2020 - 2014-2020)
","Coordination and support action
","11 December 2013
","single-stage
Deadline date","Scope:
Specific challenge: The Strategic Research and Innovation Agenda (SRIA) of the Advisory Council for Aviation Research and Innovation in Europe (ACARE) identified a number of domains where policy support is needed. The following two domains call for urgent actions:
1.    Door-to-door travel involving air transport is currently far from being seamless and therefore, based on the analysis of the current system, conceptual foundations of a novel system should be studied and proposed.
1.    Certification, which is a key element to guarantee the safety of the air transport system, can be time consuming and costly; in addition, new approaches to certification have to be found to cope with novel technologies never used before. Therefore, innovative approaches to this process should be envisaged and studied.
Scope: Proposals should address fully one of the two following domains:
1.    Regarding seamless door to door travel involving air transport, the proposed actions should investigate the profile of customers and better understand their expectations, needs and requirements by collecting data and analysing the current European air transport system and its connections from a user’s perspective. The current effectiveness of traffic flows should be assessed and metrics developed in order to identify the main areas to be improved (information to passengers, luggage handling, predictability, etc.) as well as the drivers and choice parameters such as infrastructure, connectivity, income level, regional aspects, etc. which influence the travel behaviour. On this basis, the action should then develop a concept for a system that is capable of providing a door-to-door service to the customers, establish the broad lines of the architecture of this system, assess the feasibility and economic viability of the concept (cost-benefit analysis) and propose key performance indicators.
2.    Regarding certification, the proposed actions should aim to review the current existing approaches (i.e. including outside of Europe) and identify which new tools and new methods could be used to accelerate the certification process (e.g. alternative means of compliance, adaptability to new concepts or technologies), lower its costs while ensuring the requested level of safety. The action requires the involvement of the key stakeholders who have authority and the capacity to act on the certification process, notably EASA (this does not necessarily require that these stakeholders are participants to the Proposal).
Expected impact: The proposed actions will pave the way for future research and innovation actions contributing to the following high level goals for the 2050 time horizon:
1.    90% of the travellers within Europe are able to complete their journey within 4 hours door to door. In order to guarantee its impact, the proposal should give indication on the methods and sources of data that are planned to be used to study customer profiles and traffic flows and assess the statistical representativeness. It should also present a sound dissemination plan, demonstrate that the results will be communicated to the appropriate stakeholders and, in particular to the potential partners that would be needed to initiate the first research and innovation actions.
2.    The certification process is time efficient, its costs have been reduced by 50% (with reference to year 2000) while ensuring the required levels of safety and gaining global acceptance. In order to guarantee its impact, the proposal should demonstrate that the results will be communicated to the appropriate stakeholders and that the dissemination mechanism is capable of gaining endorsement and commitment at high level.
Type of action: Coordination and Support Actions
Cross-cutting Priorities:
Socio-economic science and humanities"
"4992","Breakthrough innovation","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/mg-1-4-2016-2017;callCode=null;freeTextSearchKeyword=;matchWholeText=false;typeCodes=1,2,8;statusCodes=31094501,31094502,31094503;programmePeriod=null;programCcm2Id=null;programDivisionCode=null;focusAreaCode=null;destination=null;mission=null;geographicalZonesCode=null;programmeDivisionProspect=null;startDateLte=null;startDateGte=null;crossCuttingPriorityCode=null;cpvCode=null;performanceOfDelivery=null;sortQuery=sortStatus;orderBy=asc;onlyTenders=false;topicListKey=topicSearchTablePageState","MG-1-4-2016-2017","Horizon 2020 Framework Programme (H2020 - 2014-2020)
","Research and Innovation action
","20 September 2016
","19 October 2017","Specific Challenge:
Very ambitious long-term goals are addressed by Europe's vision for aviation Flightpath 2050, in particular for maintaining and extending industrial leadership and for protecting the environment. As many evolutionary technologies are mature near to their maximum potential, new disruptive breakthrough technologies are needed to reach these ambitious goals.
Scope:
The aim is to develop exploitable breakthrough technologies and concepts for the medium term that are not currently used or that have not yet being put in combination for civil aviation. The actions should target technologies and concepts that are at low Technology Readiness Level today (up to TRL 3) and can potentially achieve Technology Readiness Level 6 by 2030-2035. The actions should focus to airframe, propulsion and on-board systems & equipment, including their integration and may challenge established practices. The proposals may also include the advancement of numerical and experimental methods towards validating the proposed concepts. The actions should address one or several of the following areas:
―Innovative aircraft configurations and airframes (e.g. short take-off and landing, long wing span; personal vehicles).
―Propulsion systems (e.g. partially or fully embedded within the airframe; distributed propulsion technologies and revolutionary engine cycles; high-speed propulsion).
―Novel and integrated multifunctional systems.
―Autonomous, intelligent and evolving systems (e.g. Remotely Piloted Aircraft Systems).
The proposals should include a quantitative preliminary assessment against the relevant criteria (for example, economic viability, time efficiency, safety, potential to cope with evolutions of regulations, human factor considerations such as passenger friendliness, social acceptance, etc.). They should also assess the potential of the technologies to be developed further and identify regulatory, technological and socio-economic barriers that could prevent such developments.
The Commission considers that proposals requesting a contribution from the EU of between EUR 2 to 4 million each would allow this specific challenge to be addressed appropriately. Nonetheless, this does not preclude submission and selection of proposals requesting other amounts.
Expected Impact:
Actions will propose new or develop further highly innovative and exploitable breakthrough technologies for the medium term that will make feasible a substantial decrease of the impact on climate and the environment of air vehicles and/or enhance the competitiveness of the European aviation industry and the safety of civil aviation. They should demonstrate the proof of concept and consider integration issues without assuming fundamental changes at airport level. Proposals are also expected to demonstrate the validity of the technologies and concepts following a sound technical and scientific approach as well as significant decrease in the environmental impact and/or high potential for new market opportunities for the European aviation industry.
Cross-cutting Priorities:
Socio-economic science and humanities"
"4993","Circular Economy, resources from Waste, Air, Water, Soil, Noise, Chemicals, Bauhaus","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/life-2021-sap-env-environment;callCode=null;freeTextSearchKeyword=;matchWholeText=false;typeCodes=1,2,8;statusCodes=31094501,31094502,31094503;programmePeriod=null;programCcm2Id=null;programDivisionCode=null;focusAreaCode=null;destination=null;mission=null;geographicalZonesCode=null;programmeDivisionProspect=null;startDateLte=null;startDateGte=null;crossCuttingPriorityCode=null;cpvCode=null;performanceOfDelivery=null;sortQuery=sortStatus;orderBy=asc;onlyTenders=false;topicListKey=topicSearchTablePageState","LIFE-2021-SAP-ENV-ENVIRONMENT","Programme for Environment and Climate Action (LIFE)
","LIFE Project Grants
","13 July 2021
","single-stage
Deadline date","Objective:
The aim is to facilitate the transition toward a sustainable, circular, toxic-free, energy-efficient/climate-resilient economy and toward a toxic-free environment as well as to protect, restore and improve the quality of the environment.
The specific objective is to cover one or more of the following topics as fully defined in section 2 of the Call document:
Circular Economy and Waste
Air
Water
Soil
Noise
Chemicals
A new European Bauhaus
Scope:
The present Call topic targets Standard Action Projects (SAP) aimed at achieving the objectives of the Circular Economy and Quality of Life sub-programme. SAP are defined in section 2 of the call document (Type of Action) while the general objectives of the sub-programme in section 1 (‘Circular Economy and Quality of Life’).
SAP focussing exclusively on environmental governance are excluded from this Call topic and covered by the related Call topic named LIFE-2021-SAP-ENV-GOV.
Expected Impact:
Applicants are expected to define, calculate, explain and achieve the expected impacts as described in the Award criterion ‘Impact’ (see Call document section 2 and 9)."
"4994","Climate Change Mitigation","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/life-2021-sap-clima-ccm;callCode=null;freeTextSearchKeyword=;matchWholeText=false;typeCodes=1,2,8;statusCodes=31094501,31094502,31094503;programmePeriod=null;programCcm2Id=null;programDivisionCode=null;focusAreaCode=null;destination=null;mission=null;geographicalZonesCode=null;programmeDivisionProspect=null;startDateLte=null;startDateGte=null;crossCuttingPriorityCode=null;cpvCode=null;performanceOfDelivery=null;sortQuery=sortStatus;orderBy=asc;onlyTenders=false;topicListKey=topicSearchTablePageState","LIFE-2021-SAP-CLIMA-CCM","Programme for Environment and Climate Action (LIFE)
","LIFE Project Grants
","13 July 2021
","single-stage
Deadline date","Objective:
Projects under the Climate Change Mitigation Priority Area should contribute to the socially just and sustainable transition towards a climate neutral economy by 2050 and to reaching the EU emission reduction target for 2030 to at least 55% compared with 1990 levels.
Scope:
Scope and areas of intervention:
Actions to reduce greenhouse gas emissions in the sectors not covered by the EU Emissions Trading System, including the reduction of use of fluorinated greenhouse gases and ozone-depleting substances
Actions which enhance the functioning of the Emissions Trading System and which have an impact on energy and greenhouse gas intensive industrial production
Increase the generation and use of renewable energy and improvement of energy efficiency (as far as not covered by specific calls under the Clean Energy Transition sub-programme)
The development of land and sea management practices which have an impact on emissions and removals of emissions, conservation and enhancement of natural carbon sinks
Expected Impact:
Efficient delivery of the quantified objectives by end of the project."
"4995","Climate Change Adaptation","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/life-2021-sap-clima-cca;callCode=null;freeTextSearchKeyword=;matchWholeText=false;typeCodes=1,2,8;statusCodes=31094501,31094502,31094503;programmePeriod=null;programCcm2Id=null;programDivisionCode=null;focusAreaCode=null;destination=null;mission=null;geographicalZonesCode=null;programmeDivisionProspect=null;startDateLte=null;startDateGte=null;crossCuttingPriorityCode=null;cpvCode=null;performanceOfDelivery=null;sortQuery=sortStatus;orderBy=asc;onlyTenders=false;topicListKey=topicSearchTablePageState","LIFE-2021-SAP-CLIMA-CCA","Programme for Environment and Climate Action (LIFE)
","LIFE Project Grants
","13 July 2021
","single-stage
Deadline date","Objective:
Projects under this strand should help to achieve the long-term vision of the new EU Strategy on Adaptation to Climate Change that, in 2050, the EU will be a climate-resilient society which is fully adapted to the unavoidable impacts of climate change. Projects should help to reinforce adaptive capacity, strengthen resilience, and reduce vulnerability, in line with the Paris Agreement and the proposed European Climate Law.
Scope:
Scope and areas of intervention:
Adaptation policy development, and adaptation strategies and plans
State-of-the art tools and solutions for adaptation
Nature-based solutions in the management of land, coasts and marine areas
Adapting cities and regions to climate change
Climate-proofing and resilience of infrastructure and buildings
Adaptation solutions for farmers, forest managers, Natura 2000 managers and other land managers
Water management
Preparedness for extreme weather events
Financial instruments, innovative solutions and public-private collaboration on insurance and loss data
Expected Impact:
Efficient delivery of the quantified objectives by end of the project."
"4996","Environment governance","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/life-2021-sap-env-gov;callCode=null;freeTextSearchKeyword=;matchWholeText=false;typeCodes=1,2,8;statusCodes=31094501,31094502,31094503;programmePeriod=null;programCcm2Id=null;programDivisionCode=null;focusAreaCode=null;destination=null;mission=null;geographicalZonesCode=null;programmeDivisionProspect=null;startDateLte=null;startDateGte=null;crossCuttingPriorityCode=null;cpvCode=null;performanceOfDelivery=null;sortQuery=sortStatus;orderBy=asc;onlyTenders=false;topicListKey=topicSearchTablePageState","LIFE-2021-SAP-ENV-GOV","Programme for Environment and Climate Action (LIFE)
","LIFE Project Grants
","13 July 2021
","single-stage
Deadline date","Objective:
The aim is to facilitate the transition toward a sustainable, circular, toxic-free, energy-efficient/climate-resilient economy and toward a toxic-free environment as well as to protect, restore and improve the quality of the environment.
The specific objective is to cover one or more of the following topics as fully defined in section 2 of the Call document:
Activities in support of public administrations’ decision-making and voluntary approaches
Environmental compliance assurance and access to justice
Behavioral change and awareness-raising initiatives
Scope:
The present Call topic targets Standard Action Projects (SAP) aimed at achieving the objectives of the Circular Economy and Quality of Life sub-programme. SAP are defined in section 2 of the call document (Type of Action) while the general objectives of the sub-programme in section 1 (‘Circular Economy and Quality of Life’).
This call topic focus exclusively on environmental governance projects, other projects as defined in the related Call topic named LIFE-2021-SAP-ENV-ENVIRONMENT as well as LIFE-2021-SAP-NAT-GOV are excluded.
The available budget for the call topic LIFE-2021-SAP-ENV-GOV is 5.000.000 EUR. The number of projects expected to be funded is ~5.
Expected Impact:
Applicants are expected to define, calculate, explain and achieve the expected impacts as described in the Award criterion ‘Impact’ (see Call document section 2 and 9)."
"4997","Nature Governance","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/life-2021-sap-nat-gov;callCode=null;freeTextSearchKeyword=;matchWholeText=false;typeCodes=1,2,8;statusCodes=31094501,31094502,31094503;programmePeriod=null;programCcm2Id=null;programDivisionCode=null;focusAreaCode=null;destination=null;mission=null;geographicalZonesCode=null;programmeDivisionProspect=null;startDateLte=null;startDateGte=null;crossCuttingPriorityCode=null;cpvCode=null;performanceOfDelivery=null;sortQuery=sortStatus;orderBy=asc;onlyTenders=false;topicListKey=topicSearchTablePageState","LIFE-2021-SAP-NAT-GOV","Programme for Environment and Climate Action (LIFE)
","LIFE Project Grants
","13 July 2021
","single-stage
Deadline date","Objective:
To contribute to the protection of nature and biodiversity by:
Supporting nature and biodiversity policy and legislation compliance assurance, and/or
Promoting effective public participation and access to justice in nature and biodiversity policy and legislation-related matters.
Scope:
The present Call topic targets Standard Action Projects (SAP) aimed at achieving the objectives of the LIFE Nature and Biodiversity sub-programme by improving governance at all levels, as defined in sections 1 and 2 of the Call document.
This call topic focuses exclusively on governance projects; other projects in line with the objectives of the LIFE Nature and Biodiversity sub-programme but defined in the Call topic LIFE-2021-SAP-NAT-NATURE are excluded.
Expected Impact:
Applicants are expected to define, calculate, explain and achieve ambitious and credible impacts in terms of conservation benefit, ensuring at the same time long term sustainability and replication (see sections 2 and 9 of the Call document)."
"4998","Nature and Biodiversity","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/life-2021-sap-nat-nature;callCode=null;freeTextSearchKeyword=;matchWholeText=false;typeCodes=1,2,8;statusCodes=31094501,31094502,31094503;programmePeriod=null;programCcm2Id=null;programDivisionCode=null;focusAreaCode=null;destination=null;mission=null;geographicalZonesCode=null;programmeDivisionProspect=null;startDateLte=null;startDateGte=null;crossCuttingPriorityCode=null;cpvCode=null;performanceOfDelivery=null;sortQuery=sortStatus;orderBy=asc;onlyTenders=false;topicListKey=topicSearchTablePageState","LIFE-2021-SAP-NAT-NATURE","Programme for Environment and Climate Action (LIFE)
","LIFE Project Grants
","13 July 2021
","single-stage
Deadline date","Objective:
To contribute to European Union objectives for the protection, maintenance and restoration of the Union’s natural capital in its marine, freshwater and terrestrial ecosystems.
Scope:
The present Call topic targets Standard Action Projects (SAP) aimed at achieving the objectives of the LIFE Nature and Biodiversity sub-programme by supporting the development, implementation, monitoring and enforcement of EU legislation and policy on nature and biodiversity, as defined in sections 1 and 2 of the Call document.
Projects focussing exclusively on governance are excluded from this Call topic and covered by the related Call topic LIFE-2021-SAP-NAT-GOV.
Expected Impact:
Applicants are expected to define, calculate, explain and achieve ambitious and credible impacts in terms of conservation benefit, ensuring at the same time long term sustainability and replication (see sections 2 and 9 of the Call document)."
